Variable,Tipo de fuente,Probabilidad,Justificación,Ponderación
PM10,Molino,7,Molienda produce partículas gruesas y finas; PM10 significativa.,0.6
PM10,Trituradora,7,Trituración genera polvo PM10 alto.,0.6
PM10,Chimenea,6,Chimenea transporta PM10 de la fuente.,0.6
PM10,No aplica (área de operación),5,"Tráfico interno, resuspensión de polvo, manejo de materiales en áreas genera PM10 difusa considerable.",0.6
PM10,Batería de coquización,9,Coquización genera cantidades importantes de partículas (PM10 y PM2.5).,0.6
PM10,Reactor,4,"Depende del proceso (polvo de reactivos, manejo), generalmente menor que procesos mecánicos.",0.6
NOX,Sin definir,4,NOx (NO + NO₂) relacionado con combustión; sin definir puntuación alta por incluir combustión.,0.4
NOX,Horno,8,Hornos de alta temp generan NOx significativo.,0.4
NOX,Caldera,9,Calderas industriales son fuentes primarias de NOx.,0.4
NOX,Caldera horno,9,Alta probabilidad de NOx.,0.4
NOX,Planta de asfalto,8,Quemadores y procesos a alta T generan NOx.,0.4
NOX,Secadores,6,"Si usan combustión, contribuyen a NOx.",0.4
NOX,Molino,1,Operaciones mecánicas no producen NOx.,0.4
NOX,Trituradora,1,Operaciones mecánicas no producen NOx.,0.4
NOX,Chimenea,7,Chimenea descarga los NOx generados por la unidad de combustión.,0.4
NOX,No aplica (área de operación),5,Vehículos y equipos de combustión en área de operación generan NOx difuso significativo.,0.4
NOX,Batería de coquización,9,Proceso térmico de coque produce NOx alto.,0.4
NOX,Reactor,3,Posible en reacciones a alta temp o procesos particulares.,0.4
WDS,Sin definir,1,No hay.,0.5
WDS,Horno,1,No hay.,0.5
WDS,Caldera,1,No hay.,0.5
WDS,Caldera horno,1,No hay.,0.5
WDS,Planta de asfalto,1,No hay.,0.5
WDS,Secadores,1,No hay.,0.5
WDS,Molino,1,No hay.,0.5
WDS,Trituradora,1,No hay.,0.5
WDS,Chimenea,1,No hay.,0.5
WDS,No aplica (área de operación),1,No hay.,0.5
WDS,Batería de coquización,1,No hay.,0.5
WDS,Reactor,1,No hay.,0.5
